Id,Year,Month,Date,Type,Description,Amount,Status,Category,CreatedAt,UpdatedAt,SettledAt
612b1b49-7a43-4f3f-8896-70590ee9c331,2026,09,2026-09-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
97b50867-2b98-4428-b90b-0059d50816e9,2026,10,2026-10-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
faa707a9-db9a-4b2b-8b62-8babb79d58c7,2026,11,2026-11-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
5c44dadd-d1d3-4a8c-b812-5c1d1e6132f6,2026,12,2026-12-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
316b8b40-3d9e-40d2-8cf1-838e3e1cd518,2027,01,2027-01-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
089ff48d-cd6a-423d-b08d-0684e4ec4d89,2027,02,2027-02-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
c2fcedbb-5ae0-4435-b8bf-23c2d870903f,2027,03,2027-03-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
a9853868-6e63-4eb4-aff7-bf502894c910,2027,04,2027-04-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
2a929b17-2706-47e7-ae47-8971bf0dd368,2027,05,2027-05-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
4890063d-38e8-4530-8102-9dc8f6bdcc12,2027,06,2027-06-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
21074c91-1285-4a77-a250-d363555f818e,2027,07,2027-07-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
323e88f4-f979-4aaa-b10d-006ca2133509,2026,06,2026-06-30,INCOME,Salario,4800,PENDENTE,Salário,,,
